Date,Close
2014-12-04 00:00:00+07:00,2845.0
2014-12-05 00:00:00+07:00,2840.0
2014-12-08 00:00:00+07:00,2805.0
2014-12-09 00:00:00+07:00,2795.0
2014-12-10 00:00:00+07:00,2835.0
2014-12-11 00:00:00+07:00,2835.0
2014-12-12 00:00:00+07:00,2825.0
2014-12-15 00:00:00+07:00,2785.0
2014-12-16 00:00:00+07:00,2745.0
2014-12-17 00:00:00+07:00,2725.0
2014-12-18 00:00:00+07:00,2800.0
2014-12-19 00:00:00+07:00,2815.0
2014-12-22 00:00:00+07:00,2825.0
2014-12-23 00:00:00+07:00,2825.0
2014-12-24 00:00:00+07:00,2845.0
2014-12-29 00:00:00+07:00,2850.0
2014-12-30 00:00:00+07:00,2865.0
2015-01-02 00:00:00+07:00,2860.0
2015-01-05 00:00:00+07:00,2835.0
2015-01-06 00:00:00+07:00,2815.0
2015-01-07 00:00:00+07:00,2810.0
2015-01-08 00:00:00+07:00,2835.0
2015-01-09 00:00:00+07:00,2860.0
2015-01-12 00:00:00+07:00,2835.0
2015-01-13 00:00:00+07:00,2840.0
2015-01-14 00:00:00+07:00,2825.0
2015-01-15 00:00:00+07:00,2830.0
2015-01-16 00:00:00+07:00,2845.0
2015-01-19 00:00:00+07:00,2855.0
2015-01-20 00:00:00+07:00,2900.0
2015-01-21 00:00:00+07:00,2915.0
2015-01-22 00:00:00+07:00,2880.0
2015-01-23 00:00:00+07:00,2890.0
2015-01-26 00:00:00+07:00,2820.0
2015-01-27 00:00:00+07:00,2830.0
2015-01-28 00:00:00+07:00,2845.0
2015-01-29 00:00:00+07:00,2860.0
2015-01-30 00:00:00+07:00,2830.0
2015-02-02 00:00:00+07:00,2805.0
2015-02-03 00:00:00+07:00,2825.0
2015-02-04 00:00:00+07:00,2845.0
2015-02-05 00:00:00+07:00,2815.0
2015-02-06 00:00:00+07:00,2830.0
2015-02-09 00:00:00+07:00,2860.0
2015-02-10 00:00:00+07:00,2845.0
2015-02-11 00:00:00+07:00,2860.0
2015-02-12 00:00:00+07:00,2895.0
2015-02-13 00:00:00+07:00,2980.0
2015-02-16 00:00:00+07:00,2890.0
2015-02-17 00:00:00+07:00,2895.0
2015-02-18 00:00:00+07:00,2895.0
2015-02-20 00:00:00+07:00,2890.0
2015-02-23 00:00:00+07:00,2910.0
2015-02-24 00:00:00+07:00,2905.0
2015-02-25 00:00:00+07:00,2970.0
2015-02-26 00:00:00+07:00,2975.0
2015-02-27 00:00:00+07:00,2935.0
2015-03-02 00:00:00+07:00,2950.0
2015-03-03 00:00:00+07:00,2945.0
2015-03-04 00:00:00+07:00,2910.0
2015-03-05 00:00:00+07:00,2910.0
2015-03-06 00:00:00+07:00,2985.0
2015-03-09 00:00:00+07:00,2945.0
2015-03-10 00:00:00+07:00,2945.0
2015-03-11 00:00:00+07:00,2940.0
2015-03-12 00:00:00+07:00,2925.0
2015-03-13 00:00:00+07:00,2955.0
